post_id,image_ID,comments_count,likes_count,followers,author_name,caption,date,year,month,day,category,labels
shwetarohira_533824_3067560929648188432_8946_85,2023-03-27_07-23-00_UTC_9.jpg,85,8946,0,shwetarohira,"Happy Theatres day to all ❤️ #thatsmygirl my debut theatre play which gave me memories that I will cherish all my life. If somebody will ask me what’s the best thing that ever happened to you hands down I would say this play 🙌 Thanks to @bharatdabholkar @ananthmahadevanofficial @mohanazaad @riicha.goel I had this experience of being on the stage and having the best debut one can ask for ❤️ well I can go on with the emotions I faced from happy to scary all of it but the insta says caption too long. Can share numerous photo but the #photodump also says #morethanenough so on the last note I can just say there moments these memories are much more than I can express 🥳🤩🤗
#worldtheatreday",2023-03-2,2023,3,2,Core Influencers,"Smile,Artist,Textile,Beard,Art,Paint,Hat,Wall,Graffiti,Cool,"
diipakhosla_1908495_3024270483029929897_16367_66,2023-01-26_13-52-37_UTC_1.jpg,66,16367,0,diipakhosla,"On Wednesdays we wear… 
💖🌸🎀

Yesterday my look for the @ramialaliofficial show 

Look @ramialaliofficial, gloves my own 
Photography @visualisation_ 
Makeup @charlottetilbury @laurievanbmua 
Hair @franckprovostparis @alexbhairstylist",2023-01-2,2023,1,2,Core Influencers,"Dress,Neck,Sleeve,Waist,Flash photography,Gown,Fashion design,One-piece garment,Thigh,Trunk,"
diipakhosla_1908495_3024270483029929897_16367_66,2023-01-26_13-52-37_UTC_2.jpg,66,16367,0,diipakhosla,"On Wednesdays we wear… 
💖🌸🎀

Yesterday my look for the @ramialaliofficial show 

Look @ramialaliofficial, gloves my own 
Photography @visualisation_ 
Makeup @charlottetilbury @laurievanbmua 
Hair @franckprovostparis @alexbhairstylist",2023-01-2,2023,1,2,Core Influencers,"Lip,Shoulder,One-piece garment,Flash photography,Neck,Sleeve,Waist,Fashion design,Thigh,Black hair,"
diipakhosla_1908495_3024270483029929897_16367_66,2023-01-26_13-52-37_UTC_3.jpg,66,16367,0,diipakhosla,"On Wednesdays we wear… 
💖🌸🎀

Yesterday my look for the @ramialaliofficial show 

Look @ramialaliofficial, gloves my own 
Photography @visualisation_ 
Makeup @charlottetilbury @laurievanbmua 
Hair @franckprovostparis @alexbhairstylist",2023-01-2,2023,1,2,Core Influencers,"Flash photography,Sleeve,Waist,Gown,Thigh,Fashion design,Formal wear,Fashion model,Haute couture,Human leg,"
diipakhosla_1908495_3024270483029929897_16367_66,2023-01-26_13-52-37_UTC_4.jpg,66,16367,0,diipakhosla,"On Wednesdays we wear… 
💖🌸🎀

Yesterday my look for the @ramialaliofficial show 

Look @ramialaliofficial, gloves my own 
Photography @visualisation_ 
Makeup @charlottetilbury @laurievanbmua 
Hair @franckprovostparis @alexbhairstylist",2023-01-2,2023,1,2,Core Influencers,"Dress,Flash photography,Neck,Waist,Gown,One-piece garment,Fashion design,Thigh,Embellishment,Black hair,"
diipakhosla_1908495_3024270483029929897_16367_66,2023-01-26_13-52-37_UTC_5.jpg,66,16367,0,diipakhosla,"On Wednesdays we wear… 
💖🌸🎀

Yesterday my look for the @ramialaliofficial show 

Look @ramialaliofficial, gloves my own 
Photography @visualisation_ 
Makeup @charlottetilbury @laurievanbmua 
Hair @franckprovostparis @alexbhairstylist",2023-01-2,2023,1,2,Core Influencers,"Flash photography,Dress,Entertainment,Performing arts,Gown,Fashion design,Waist,One-piece garment,Formal wear,Black hair,"
masoomminawala_1355818_3069874749957535401_4928_54,2023-03-30_12-00-09_UTC_1.jpg,54,4928,0,masoomminawala,"Versace baby!

Outfit: @versace @reliancebrandsltd 
Hair: @kimberlyychu 
Shot by: @dinesh_ahuja",2023-03-3,2023,3,3,Core Influencers,"Arm,Leg,Sleeve,Thigh,Fashion design,Blazer,Comfort,Waist,Knee,Electric blue,"
masoomminawala_1355818_3069874749957535401_4928_54,2023-03-30_12-00-09_UTC_2.jpg,54,4928,0,masoomminawala,"Versace baby!

Outfit: @versace @reliancebrandsltd 
Hair: @kimberlyychu 
Shot by: @dinesh_ahuja",2023-03-3,2023,3,3,Core Influencers,"Hair,Joint,Shoulder,Leg,Neck,Sleeve,Flash photography,Thigh,Waist,Knee,"
masoomminawala_1355818_3069874749957535401_4928_54,2023-03-30_12-00-09_UTC_3.jpg,54,4928,0,masoomminawala,"Versace baby!

Outfit: @versace @reliancebrandsltd 
Hair: @kimberlyychu 
Shot by: @dinesh_ahuja",2023-03-3,2023,3,3,Core Influencers,"Hair,Joint,Shoulder,Leg,Human body,Comfort,Neck,Flash photography,Sleeve,Thigh,"
diipakhosla_1908495_3038758805160691174_6162_62,2023-02-15_13-38-20_UTC_1.jpg,62,6162,0,diipakhosla,"Love at first sniff 💕 @olegbuller and I've been on the hunt for the ultimate scent and finally found it in #BOSSTheScent Magnetic! Get ready to experience the power of attraction!
@boss #BeYourOwnBOSS @theperfumeshop",2023-02-1,2023,2,1,Core Influencers,"Arm,Coat,Gesture,Interaction,Flash photography,Happy,Formal wear,Blazer,Thigh,Fashion design,"
